,comment_content,Chat Luong San Pham,Dong goi,Giao hang,Cham soc khach hang,Thiet ke,Gia Ban,Pin,Do Nhay,Phu Kien,Nut Power,Con Lan,Ket Noi,Phi Ship
0,sản phẩm rất tốt mình khuyên các bạn nên mua,1,0,0,0,0,0,0,0,0,0,0,0,0
1,giao không đúng yêu cầu nc mệt mỏi,0,0,1,0,0,0,0,0,0,0,0,0,0
2,đúng hàng xài tốt ok cửa hàng,1,0,0,0,0,0,0,0,0,0,0,0,0
3,đóng gói chắc chắn mẫu mã giống quả ng cáo chất lượng thì sử dụng 1 thời gian mới biết được giao hàng hơi lâu,1,1,1,0,0,0,0,0,0,0,0,0,0
4,hàng ok mới nhận hôm qua bấm không có tiếng không quen lắm,1,0,0,0,0,0,0,0,0,0,0,0,0
5,sản phẩm giống mô tả và tốt hơn mong đợi sản phẩm tốt được tặng cả lót chuột mnguoi nên mua nhé,1,0,0,0,0,0,0,0,1,0,0,0,0
6,sản phẩm giống mô tả cám ơn cửa hàng,1,0,0,0,0,0,0,0,0,0,0,0,0
7,con này xài ok mà giá quá chênh với,0,0,0,0,0,1,0,0,0,0,0,0,0
8,sản phẩm tốt,1,0,0,0,0,0,0,0,0,0,0,0,0
9,sản phẩm sử dụng rất ok và đẹp,1,0,0,0,1,0,0,0,0,0,0,0,0
10,tiếp tục phát huy sự uy tín nhé cửa hàng,0,0,0,0,0,0,0,0,0,0,0,0,0
11,sản phẩm hoàn toàn khác mô tả chất lượng sản phẩm rất tệ hàng giả mạo,1,0,1,0,0,0,0,0,0,0,0,0,0
12,một đôi pin bị hỏng,0,0,0,0,0,0,1,0,0,0,0,0,0
13,đóng gói hàng cẩn thận chắc chắn xài được nhưng giao hàng hơi lâu,0,1,1,0,0,0,0,0,0,0,0,0,0
14,đặt màu đen thì giao màu đỏ không hiểu cửa hàng có biết đọc đơn hàng kg chuột không có pin cũng không nói rõ trong mô tả sản phẩm,0,0,1,0,0,0,1,0,1,0,0,0,0
15,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn dùng mấy hôm rồi mình thấy vẫn rất ok chúc cửa hàng làm ăn phát đạt,1,1,1,0,0,0,0,0,0,0,0,0,0
16,chuột không có đầu cắm thì làm sao sử dụng đây cửa hàng ơi,0,0,0,0,0,0,0,0,1,0,0,0,0
17,cửa hàng phục vụ khá tốt được,0,0,0,1,0,0,0,0,0,0,0,0,0
18,hàng giả mạo thì nói thẳng ra cứ mập mờ,1,0,0,0,0,0,0,0,0,0,0,0,0
19,sản phẩm xài ok sendo làm việc tận tình xin cảm ơn,1,0,0,1,0,0,0,0,0,0,0,0,0
20,sản phẩm giống mô tả và tốt hơn mong đợi đóng gói hàng rất kỹ và chắc chắn hàng chất lượng chuột bấm êm đúng như mong đợi,1,1,0,0,0,0,0,0,0,0,0,0,0
21,sản phẩm bị lỗi mình gửi đổi lâu rồi mà không thấy hồi âm,0,0,0,0,0,0,0,0,0,0,0,0,0
22,chất lượng chưa ưng ý,1,0,0,0,0,0,0,0,0,0,0,0,0
23,mình nhận được hàng rồi cảm ơn cửa hàng sản phẩm rất đẹp chất lượng tốt vì đã thử luôn thời gian giao hàng nhanh cảm ơn cửa hàng nhiều,1,0,1,0,1,0,0,0,0,0,0,0,0
24,vỏ mỏng dễ vỡ,1,0,0,0,1,0,0,0,0,0,0,0,0
25,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc cửa hàng phục vụ cực kỳ nhiệt tình cửa hàng uy tín tư vấn nhiet tình,1,0,0,1,0,0,0,0,0,0,0,0,0
26,giao hàng không giống như hình quả ng cáo,0,0,1,0,0,0,0,0,0,0,0,0,0
27,chất lượng sản phẩm xuất sắc ok,1,0,0,0,0,0,0,0,0,0,0,0,0
28,hàng đểu quá,1,0,0,0,0,0,0,0,0,0,0,0,0
29,chạy được 1lúc là bị chập chờn chậm bực cả mình,1,0,0,0,0,0,0,0,0,0,0,1,0
30,cung được,0,0,0,0,0,0,0,0,0,0,0,0,0
31,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn cửa hàng phục vụ cực kỳ nhiệt tình ok,1,1,0,0,0,0,0,0,0,0,0,0,0
32,mình mua cả bàn phím và chuột bluetoth hàng chính hãng sau 10 ngày sử dụng thấy ok hi vọng là lâu bền,1,0,0,0,0,0,0,0,0,0,0,0,0
33,giao hàng lẹ quá hàng chính hãng gói hàng gì mà ngồi tháo cả buổi cửa hàng phục vụ quá tốt ủng hộ cửa hàng thời gian tới,1,0,1,0,0,0,0,0,0,1,0,0,0
34,đúng mô tả nhưng bluetoth chưa nhạy,0,0,1,0,0,0,0,0,0,0,0,0,0
35,đóng gói hàng rất kỹ và chắc chắn chuột không có công tắc bật tắt rất bất tiện khi thường xuyên phải tháo lắp pin,0,1,0,0,1,0,0,0,0,0,0,0,0
36,mình không thấy tem thông số sản phẩm và nơi sản xuất,0,0,0,0,0,0,0,0,0,0,0,0,0
37,hàng tốt,1,0,0,0,0,0,0,0,0,0,0,0,0
38,cáp kết nối xài ok chuột boston mua màu vàng cửa hàng giao màu xanh thời gian giao hàng lâu,0,0,1,0,0,0,0,0,0,0,0,0,0
39,giao hàng nhanh đóng gói ok chất lượng ok,1,1,1,0,0,0,0,0,0,0,0,0,0
40,rat tot,1,0,0,0,0,0,0,0,0,0,0,0,0
41,đóng gói hàng chưa chắc chắn hai con không có thiết bị nhận chuột vaio và hp nhờ cửa hàng gửi lại cảm ơn,0,1,0,0,0,0,0,0,0,0,0,1,0
42,sản phẩm tốt vượt mong đợi dịch vụ rất hài lòng,1,0,0,1,0,0,0,0,0,0,0,0,0
43,cửa hàng phục vụ cực kỳ nhiệt tình,0,0,0,1,0,0,0,0,0,0,0,0,0
44,sản phẩm giống mô tả và tốt hơn mong đợi đóng gói hàng rất kỹ và chắc chắn ok,1,1,0,0,0,0,0,0,0,0,0,0,0
45,tạm ổn nhưng làm sao biết được là hàng logitech chính hãng,0,0,0,0,0,0,0,0,0,0,0,0,0
46,sản phẩm giống mô tả và tốt hơn mong đợi hàng ok tốt,1,0,0,0,0,0,0,0,0,0,0,0,0
47,xài tốt lắm,1,0,0,0,0,0,0,0,0,0,0,0,0
48,sản phẩm không đúng mô tả không phải chuột bay km900 mà là chuột bay km800 vui lòng đổi lại cho tôi đúng chuột bay km900 như đã đặt hàng,0,0,1,0,0,0,0,0,0,0,0,0,0
49,giao hàng nhanh sản phẩm đúng mô tả,1,0,1,0,0,0,0,0,0,0,0,0,0
50,đóng gói không được tốt khi nhận hàng,0,1,0,0,0,0,0,0,0,0,0,0,0
51,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn cửa hàng phục vụ cực kỳ nhiệt tình giao hàng nhanh,1,0,1,1,0,0,0,0,0,0,0,0,0
52,sản phẩm hoàn toàn khác mô tả,0,0,1,0,0,0,0,0,0,0,0,0,0
53,sản phẩm giống mô tả chất lượng sản phẩm khá tốt đóng gói hàng cẩn thận chắc chắn giao hang quá lau,1,1,1,0,0,0,0,0,0,0,0,0,0
54,tuyệt,0,0,0,0,0,0,0,0,0,0,0,0,0
55,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn cửa hàng phục vụ cực kỳ nhiệt tình vừa nhận được hàng chuột vừa tay rất nhạy cửa hàng nhiệt tình đóng gói chắc chắn,1,1,0,1,1,0,0,0,0,0,0,0,0
56,đóng gói hàng cẩn thận chắc chắn mình đã dùng được 1 tháng chuột không nhạy đặc biết con lăn ở giữa khó dùng phù hợp với giá tiền,0,1,0,0,0,0,0,1,0,0,1,0,0
57,chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn sản phẩm giống mô tả và tốt hơn mong đợi,1,1,1,0,0,0,0,0,0,0,0,0,0
58,hàng ok so với giá,1,0,0,0,0,1,0,0,0,0,0,0,0
59,sản phẩm không đúng miêu tả đóng gói không có mút chống va đập hàng rao bán có nút tắt mở nguồn sản phẩm nhận được hình thức giống nhưng không có nút tắt có trầy xước hiện tại đèn sáng tắt phải tháo pin tuy không nhiều tiền nhưng tôi cần cửa hàng và sendo phản hồi về việc này lần đầu tiên tham gia thật sự không hài lòng chính sách đổi trả 48 giờ vui lòng tư vấn lý do tôi không được trả xin cảm ơn,0,1,1,0,0,0,0,0,0,1,0,0,0
60,khach hang chua nhan được hang ma da bao giao hang cho khach hang la sao,0,0,1,0,0,0,0,0,0,0,0,0,0
61,xai duoc,1,0,0,0,0,0,0,0,0,0,0,0,0
62,chuột về dùng không đi chuyển được lúc di được lúc không không hài lòng san phẩm lắm,1,0,0,0,0,0,0,1,0,0,0,0,0
63,sản phẩm giống mô tả đóng gói hàng cẩn thận chắc chắn ok,1,1,1,0,0,0,0,0,0,0,0,0,0
64,cửa hàng phục vụ khá tốt giao hàng giao hàng không cho thử ok không thử dùng quá chán luôn chuột di đơ đơ chậm chậm lúc không di được luôn cần đổi hàng đổi hàng ok sẽ đánh giá lại không thì cửa hàng nhận 1star là đúng thôi miễn bàn cãi p s tem dán làm màu sắc kiểu dáng nhái fpt nhìn qua tưởng fpt hoá ra không phải feedback lần 2 sau phản ánh chủ cửa hàng đã cal và giải quyết nói chung thích cách giải quyết nhanh gọn của chủ cửa hàng sendo mail hỗ trợ các kiểu cũng nhanh hiện đã nhận được 30k tiền bắn vào sđt của mình mình sẽ gửi lại chuột và nhận nốt 29k còn lại cám ơn cửa hàng vì suport 5star ủng hộ,1,0,1,1,0,0,0,1,0,0,0,0,0
65,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn cửa hàng phục vụ cực kỳ nhiệt tình tốt,1,1,1,1,0,0,0,0,0,0,0,0,0
66,sản phẩm giống mô tả chất lượng sản phẩm khá tốt cửa hàng phục vụ khá tốt giao hàng quá lâu,1,0,1,0,0,0,0,0,0,0,0,0,0
67,chuột không có nút on of dán đè tem lên tệ thiệt,0,0,0,0,0,0,0,0,0,1,0,0,0
68,hàng chất lượng nhân viên giao hàng vui vẻ nhiệt tình,1,0,0,1,0,0,0,0,0,0,0,0,0
69,sản phẩm rất tốt đúng như mô tả,1,0,0,0,0,0,0,0,0,0,0,0,0
70,đóng gói hàng rất kỹ và chắc chắn,0,1,0,0,0,0,0,0,0,0,0,0,0
71,chất lượng sản phẩm rất tệ 153k mà về dùng được 2 ngày quá tệ không hiểu nổi làm ăn kiểu gì mua 70k dùng còn tốt hơn,1,0,0,0,0,0,0,0,0,0,0,0,0
72,tốt lắm,1,0,0,0,0,0,0,0,0,0,0,0,0
73,sản phẩm giống mô tả và tốt hơn mong đợi sản phẩm đẹp như hình được tặng lót chuột rất ok,1,0,0,0,1,0,0,0,0,0,1,0,0
74,chất lượng sản phẩm ổn độ ồn click thấp nút cuộn cho cảm giác không quá chắc chắn,1,0,0,0,1,0,0,0,0,0,1,0,0
75,rất thích chuột pin sạc như thấy này rất tiện lợi sản phẩm rất chất lượng,1,0,0,0,1,0,0,0,0,0,0,0,0
76,chuột giá rẽ sử dụng tốt độ nhạy chưa tốt cho lắm,1,0,0,0,0,1,0,1,0,0,0,0,0
77,re ma chất,1,0,0,0,0,1,0,0,0,0,0,0,0
78,giá rẻ ok,0,0,0,0,0,1,0,0,0,0,0,0,0
79,hàng nguyên seal có tem chống giả của digiworld chuột nhạy mượt đóng gói cẩn thận hy vọng sản phẩm bền như cảm nhận ban đầu,1,1,0,0,0,0,0,0,0,0,0,0,1
80,sản phẩm như hình giao hàng nhanh,0,0,1,0,0,0,0,0,0,0,0,0,0
81,khá ok,1,0,0,0,0,0,0,0,0,0,0,0,0
82,đóng gói hàng rất kỹ và chắc chắn tot,1,1,0,0,0,0,0,0,0,0,0,0,0
83,do tao lao do hu ma cung ban lam an o co duc,1,0,0,0,0,0,0,0,0,0,0,0,0
84,hàng tốt,1,0,0,0,0,0,0,0,0,0,0,0,0
85,đóng gói hàng không cẩn thận đóng gói nhìn như hộp rác pin không có làm ăn không đâu vào đâu kém,0,1,0,0,0,0,0,0,1,0,0,0,0
86,gửi hàng thiếu mua 2 con thanh toán xong xuôi lại gửi về có 1 con,0,0,1,0,0,0,0,0,0,0,0,0,0
87,mua sạc del được vaio xịn và rẻ hơn,0,0,0,0,0,0,0,0,0,0,0,0,0
88,tốt khỏi chê,1,0,0,0,0,0,0,0,0,0,0,0,0
89,đúng sản phảm,0,0,1,0,0,0,0,0,0,0,0,0,0
90,hàng nhận rồi nhưng không phải chuột mà là một hộp pin a đề nghị cửa hàng xem lại,0,0,0,0,0,0,1,0,1,0,0,0,0
91,chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn cửa hàng phục vụ cực kỳ nhiệt tình hôm bữa nói hoá đơn trên 200k được nhập mã giảm 10k á tuy không giảm ngay nhưng bù lại được card 10k mình có thử sản phẩm rồi máy có vài điểm không giống như mô tả nhưng không đáng kể máy sử dụng tốt lắm chuột không dây chạy mượt đáng để mua nhân viên gọi tư vấn nhiệt tình vui vẻ cám ơn a đã giúp đỡ tận tình zalo nhunguyen 0327470569,1,1,0,1,0,0,0,1,0,0,0,0,0
92,sản phẩm tốt,1,0,0,0,0,0,0,0,0,0,0,0,0
93,mua hàng chưa nhận được hàng mà ghi đã thanh toán chắc là để giá rẻ cho có lệ chứ thật ra không mua được,0,0,1,0,0,1,0,0,0,0,0,0,0
94,được,1,0,0,0,0,0,0,0,0,0,0,0,0
95,hàng đóng gói kĩ càng tốt,0,1,0,0,0,0,0,0,0,0,0,0,0
96,sản phẩm tương đối giống mô tả đóng gói hàng cẩn thận,0,1,1,0,0,0,0,0,0,0,0,0,0
97,sản phẩm dùng tốt vận chuyển quá chậm,1,0,0,0,0,0,0,0,0,0,0,0,0
98,đóng gói hàng rất kỹ và chắc chắn tốt,1,0,0,0,0,0,0,0,0,0,0,0,0
99,sản phẩm giống mô tả và tốt hơn mong đợi hang tốt nka cửa hàng,1,0,0,0,0,0,0,0,0,0,0,0,0
100,chất lượng sản phẩm tương đối tốt ok cửa hàng ak,1,0,0,0,0,0,0,0,0,0,0,0,0
101,sản phẩm dùng tốt,1,0,0,0,0,0,0,0,0,0,0,0,0
102,sản phẩm tốt đóng gói cẩn thận hơi tiếc vận chuyển lâu mất 4 ngày sẽ mua ủng hộ cửa hàng tiếp,1,1,1,0,0,0,0,0,0,0,0,0,0
103,xài tạm được,1,0,0,0,0,0,0,0,0,0,0,0,0
104,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn cửa hàng phục vụ cực kỳ nhiệt tình chuột đẹp rất chuẩn chuột rất nhạy và êm,1,1,0,1,0,0,0,1,0,0,0,0,0
105,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn cửa hàng phục vụ cực kỳ nhiệt tình đang xài thử thấy ok về lâu dài thì chưa biết cứ cho 5star,1,1,1,1,0,0,0,0,0,0,0,0,0
106,hàng đẹp nhân viên giao hàng chu đáo nhiệt tình,0,0,0,1,1,0,0,0,0,0,0,0,0
107,cửa hàng hết hàng nên lấy hàng từ bên ngoài sản phẩm box đã cài gogle mail cũng giao cho khách 3 box x9 được giao không cùng chủng loại khi nhận hàng không được mở gói kiểm tra,1,0,1,0,0,0,0,0,0,0,0,0,0
108,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn cửa hàng phục vụ cực kỳ nhiệt tình rat tốt ung y,1,1,0,1,0,0,0,0,0,0,0,0,0
109,tui mua 1 chuột day cai nap de bo pin thi gay con cho bo pin vào không len đen không xài duoc vui long doi cho tui cai khac,1,0,0,0,0,0,0,0,0,0,0,0,0
110,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn chất lượng tốt giá rẻ nên mua,1,1,1,0,0,0,0,0,0,0,0,0,0
111,cửa hàng giao sai màu so với đơn cửa hàng cần lưu ý chuyện đó nhưng cách giải quyết của cửa hàng cũng ổn hài lòng về hậu mãi,0,0,1,1,0,0,0,0,0,0,0,0,0
112,chất lượng sản phẩm khá tốt giao hàng quá lâu tận 10 ngày mới nhận được,1,0,1,0,0,0,0,0,0,0,0,0,0
113,đóng gói hàng cẩn thận cửa hàng phục vụ chấp nhận được,0,1,1,0,0,0,0,0,0,0,0,0,0
114,chất lượng cũng ổn,1,0,0,0,0,0,0,0,0,0,0,0,0
115,chất lượng tuyệt vời tiếc thay thiếu nút on of để giữ pin được lâu hơn,1,0,0,0,0,0,0,0,0,1,0,0,0
116,giao chuột hư có dấu hiệu bị va đập rất bùn khi cố gắng kết nối thay pin mới nhưng không sử dụng được,1,0,1,0,0,0,0,0,0,0,0,1,0
117,chuột không nhận không xài được rất tệ,1,0,0,0,0,0,0,0,0,0,0,1,0
118,chất lượng sản phẩm rất tệ mình có mua chuột không dây máy tính nasun sang nay nhận được hàng nhưng hỏng chuột giữ vô dụng thử nhiểu máy vẫn không được đổi mình con khác hoặc trả lại tiền giúp mình mình có gọi vào số 0969280404 nhiều lần nhưng không nghe và còn tắt máy gt lt,1,0,0,0,0,0,0,0,0,0,1,0,0
119,ban co195 000 ma thu tien 200 000 nhan vien tham tien qua,0,0,1,0,0,0,0,0,0,0,0,0,0
120,giao hàng nhanh sản phẩm đúng hình ảnh còn chất lượng thì phải qua sử dụng cho cửa hàng 5star,1,0,1,0,0,0,0,0,0,0,0,0,0
121,đóng gói hàng rất kỹ và chắc chắn nhanh giao hàng,0,1,1,0,0,0,0,0,0,0,0,0,0
122,mới mua 3 ngày đã hư rồi bảo hành sao đây,1,0,0,0,0,0,0,0,0,0,0,0,0
123,chuột gì mới mua mà hư rồi,1,0,0,0,0,0,0,0,0,0,0,0,0
124,n c,0,0,0,0,0,0,0,0,0,0,0,0,0
125,đóng gói hàng rất kỹ và chắc chắn nhìn chung oke,1,1,0,0,0,0,0,0,0,0,0,0,0
126,hàng chạy nhanh mượt cửa hàng phục vụ nhiệt tình sẽ ủng hộ cửa hàng những lần sau,1,0,0,1,0,0,0,0,0,0,0,0,0
127,được,1,0,0,0,0,0,0,0,0,0,0,0,0
128,mong cửa hàng làm ăn cẩn thận hơn người ta thấy hiệu asus mới đặt mua đàng này gởi chuột del,0,0,1,0,0,0,0,0,0,0,0,0,0
129,sản phẩm gần giống mô tả,0,0,1,0,0,0,0,0,0,0,0,0,0
130,sản phẩm chất lượng tốt,1,0,0,0,0,0,0,0,0,0,0,0,0
131,sản phẩm giống mô tả và tốt hơn mong đợi đóng gói hàng rất kỹ và chắc chắn chất lượng sản phẩm xuất sắc,1,1,1,0,0,0,0,0,0,0,0,0,0
132,giao hàng nhanh chuột xài tốt,1,0,1,0,0,0,0,0,0,0,0,0,0
133,hài lòng,1,0,0,0,0,0,0,0,0,0,0,0,0
134,chất lượng thấy có vẻ ổn nhưng cái usb gắn không đúng chỗ đi bỏ vào lỗ pin nghe tưởng bị bể cái gì lỗ đựng 2 cục pin 2 a trong hộp trống rỗng không biết chuột có kèm pin ko nếu không có thì có lỗ pin làm gì nhỉ,1,0,0,0,1,0,0,0,1,0,0,0,0
135,cửa hàng phục vụ cực kỳ nhiệt tình 0,0,0,0,1,0,0,0,0,0,0,0,0,0
136,sản phẩm ưng ý lắm ạ đẹp nhìn mê luôn,1,0,0,0,0,0,0,0,0,0,0,0,0
137,đóng gói hàng rất kỹ và chắc chắn hi vọng chất lượng tốt như quả ng cáo,1,1,0,0,0,0,0,0,0,0,0,0,0
138,tot,1,0,0,0,0,0,0,0,0,0,0,0,0
139,không hổ trợ cho smart tivi pin bị rỉ một cục hàng thì đẹp ok,1,0,0,0,1,0,0,0,0,0,0,0,0
140,sản phẩm ok dúng như mô tả mỗi tội không kèm theo đôi pin cùng với sản phẩn phải mất 2km mới đi mua được đôi pin vừa với nó,1,0,0,0,0,0,1,0,1,0,0,0,0
141,sản phẩm hoàn toàn khác mô tả khác màu không có pin như cửa hàng quả ng cáo kegm pin,0,0,1,0,0,0,1,0,0,0,0,0,0
142,mặc dù chuột rất nhẹ hầu như tiếng kêu không đáng kể nhưng dùng lại không được chuẩn lắm phải dùng lực tay hơi mạnh nên với những người dùng chuột thường xuyên như mình là không thích hợp,0,0,0,0,1,0,0,0,0,0,0,0,0
143,đóng gói hàng rất kỹ và chắc chắn cửa hàng phục vụ cực kỳ nhiệt tình xài cũng được,0,1,0,1,0,0,0,0,0,0,0,0,0
144,nhẹ hơn mình tưởng nhưng đúng như cửa hàng giới thiệu đẹp hơn hình,0,0,0,0,1,0,0,0,0,0,0,0,0
145,chất lượng sản phẩm tương đối tốt không có pin kèm theo,1,0,0,0,0,0,1,0,1,0,0,0,0
146,cửa hàng làm ăn thiếu trách nhiệm giao hàng không đủ cho khách nhắn tin không thèm trả lời lần đầu tiên mua hàng từ lazada cửa hàng e và sendo gặp phải trường hợp cửa hàng này mọi người tốt nhất nên tránh xa đừng ai mua nếu thiếu hàng nhắn tin xin lỗi 1 câu e cũng chẳng sao đây không thèm ngỏ nghê gì cửa hàng chỉ cần bán 1 lần không cần bán lần 2 đừng ai mua của cửa hàng này,0,0,1,1,0,0,0,0,0,0,0,0,0
147,tốt,1,0,0,0,0,0,0,0,0,0,0,0,0
148,cũng ok lắm,1,0,0,0,0,0,0,0,0,0,0,0,0
149,hàng đóng gói cẩn thận,0,1,0,0,0,0,0,0,0,0,0,0,0
150,sản phẩm giống mô tả và tốt hơn mong đợi hang tốt ok,1,0,1,0,0,0,0,0,0,0,0,0,0
151,hàng mới nguyên seal tem của np digiworld mình cũng check thử serial trên trang logitech hàng chính hãng sản phẩm cầm trong tay thích lắm ạ 5star cho uy tin của cửa hàng va san pham hàng chính hãng mới 100 3star cho sendo vì minh không su dung đươc gói chuyển phát nhanh không biet tại sao proces từ lúc đặt hàng đến lúc nhận hang 4 ngay,1,0,1,0,0,0,0,0,0,0,0,0,0
152,chất lượng sản phẩm xuất sắc ok,1,0,0,0,0,0,0,0,0,0,0,0,0
153,tốt hơn mong đợi,1,0,0,0,0,0,0,0,0,0,0,0,0
154,rất ok,1,0,0,0,0,0,0,0,0,0,0,0,0
155,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc,1,0,1,0,0,0,0,0,0,0,0,0,0
156,đóng gói hàng rất kỹ và chắc chắn chuột xài ổn mà không có pin kèm theo phải mất công ra tiệm mua 2 cục pin 3a,0,1,0,0,0,0,1,0,1,0,0,0,0
157,đóng gói hàng rất kỹ và chắc chắn sản phẩm ok gt đúng như mô tả,1,1,0,0,0,0,0,0,0,0,0,0,0
158,sản phẩm hoàn toàn khác mô tả ghi là diều khiễn bằng giọng nói co xai dược dâu dồ lường gạt mua mắc hon cung loại ma không xài dược chức năng giọng noi lừa dảo,1,0,0,0,0,0,0,0,0,0,0,0,0
